Ranking;Nombre;NIF;patentes;ano_constitucion;poblacion;comarca;sector_amigable;grupo_empresarial;rol_en_grupo;ventas_confianza;empleados_numero;empleados_fuente;ceo_actual;ventas_reales;ventas_fuente;inversores_capital_privado;usa_ia;ia_detalle;stack_nivel;stack_detalle;equipo_tech_estimacion;roles_tech_detectados;pct_exportacion;inversion_id;mercado_b2b_b2c;posicion_mercado;producto_propio;mercado_cotizacion;tipologia_propiedad;taxonomia_confianza;taxonomia_razonamiento;rol_ecosistema;rol_ecosistema_confianza;rol_ecosistema_razonamiento;es_campeona_oculta
1,922;ALMALAR SL;B78763950;0.0;1987;Donostia-San Sebastián;Donostialdea;Hostelería, turismo y restauración;;independiente;baja;18.0;eInforma 2023;;;;;No;;Básico;WiFi gratuito, sistema de reservas online, TV satélite, minibar, aire acondicionado. Sin evidencia de sistemas avanzados.;mínimo (<5);;0;;B2C;Regional;Sí, servicio hotelero de 3 estrellas con 72 habitaciones, piscina, restaurante y servicios complementarios;No cotiza;Empresa familiar — Pyme;baja;Sin datos públicos de accionariado. Ventas 25M€ pero solo 18 empleados, lo que sugiere estructura pequeña. Por defecto, pyme vasca sin datos = empresa familiar pyme (lo más probable estadísticamente). No supera umbral de 250 empleados.;Resto del tejido empresarial;alta;Hotel de 3 estrellas en Donostia, servicio local B2C, sin exportación, sin I+D, sin liderazgo de nicho. Pyme de hostelería local.;
1,923;KAYMA SISTEMAS SL;B20903423;0.0;2006;Hernani;Donostialdea;Comercio al por mayor;;independiente;media;8.0;eInforma 2024 (actualizado 22/08/2025);;2130000.0;"Infonif 2022 (2,13 M€); datos 2024 muestran rango 1.500.001-3.000.000€ según Axesor";;;;;;sin evidencia;;;Recibió subvención Red.es (Ministerio Transformación Digital), pero sin datos específicos de % I+D sobre ventas;B2B;Nacional;"Sí, diseño y fabricación a medida de cerramientos de seguridad, puertas, barandillas y protecciones industriales; distribuidor oficial PROTEC";No cotiza;Empresa familiar — Pyme;baja;Sin datos de accionariado. Ventas 2,1M€ y 8 empleados, claramente pyme. Por defecto clasificada como empresa familiar pyme.;Resto del tejido empresarial;alta;Pyme distribuidora y fabricante de cerramientos de seguridad industrial. Posición regional, 8 empleados, 2.1M€ ventas, sin liderazgo de nicho internacional ni masa crítica suficiente.;
1,924;APLICACIONES DE PINTURA TERMOENDURECIBLE 2000 SL;B20632451;0.0;1998;Donostia-San Sebastián;Donostialdea;Productos metálicos;;independiente;media;27.0;eInforma - entidad local Donostia, no grupo global;;25000000.0;eInforma - datos registrales;;No;;;;sin evidencia;;Sí, es exportadora (porcentaje exacto no disponible);;B2B;Regional;No (servicios de tratamiento y lacado subcontratados);No cotiza;Empresa familiar — Pyme;baja;Sin datos de accionariado. Ventas 25M€ y 27 empleados, no supera umbral de 250 empleados ni claramente 50M€. Por defecto clasificada como empresa familiar pyme.;Resto del tejido empresarial;alta;Servicio de lacado y tratamiento de metales subcontratado. Sin producto propio, sin liderazgo de nicho, posición regional. Pyme de servicios industriales auxiliares.;
1,929;SEGURLAN PREBENTZIOA SL.;B09317926;0.0;2009;Hernani;Donostialdea;Servicios profesionales diversos;;independiente;media;53.0;eInforma 2025 (15/12/2025);IZUELAKOA SL (Administrador Único desde 06/02/2025);1750000.0;"Axesor 2024: rango 1.500.001-3.000.000€; RocketReach 2025: $6.7M (~6.300.000€); Empresia: 1.000.000-2.500.000€";;No;;Básico;Herramientas de gestión: tablets para coordinadores de seguridad en obra (captura digital de actas de visita). Plataforma web ecoordina (distribuidora autorizada para coordinación de actividades empresariales). Aula virtual para formación online. No hay evidencia de cloud avanzado, ERP empresarial, o arquitectura tech moderna.;mínimo (<5);;;;B2B;Regional;"No (servicios de prevención ajeno subcontratados; distribuidor de plataforma ecoordina)";No cotiza;Empresa familiar — Pyme;media;Propiedad al 100% por IZUELAKOA SL, anteriormente en manos de Nestor Aguirre Zabalecu (persona física). Estructura de sociedad holding personal/familiar. Ventas 1,75M€ y 53 empleados, bajo umbral de gran grupo. Sin indicios de PE ni cooperativa.;Resto del tejido empresarial;alta;Servicio de prevención ajeno regional. Sin producto propio, sin exportación, sin I+D, posición local/regional. Pyme de servicios profesionales.;
1,93;CUBIERTAS PAGOLA SL;B20730941;0.0;2001;Hernani;Donostialdea;Instalaciones y acabados de obra;;independiente;media;13.0;eInforma 2024-2025, Empresite, Axesor;Mikel Agirretxe Barandika;2110000.0;"Infonif 2022 (último dato disponible: 2,11M€); Axesor rango 1.500.001-3.000.000€; Empresia rango 1.000.000-2.500.000€";;No;;;;sin evidencia;;0;;B2B;Regional;No (servicios de construcción especializada);No cotiza;Empresa familiar — Pyme;baja;Sin datos de accionariado. El apellido 'Pagola' en la razón social sugiere origen familiar. Ventas 2,1M€ y 13 empleados, claramente pyme. Por defecto empresa familiar pyme.;Resto del tejido empresarial;alta;Empresa de construcción especializada en cerramientos y cubiertas industriales. Sin exportación, sin producto propio, posición regional, 13 empleados. Pyme local de construcción.;
1,931;DULCIFROST SL;B20695896;0.0;2000;Hernani;Donostialdea;Industria alimentaria;;independiente;baja;12.0;eInforma 2024;Pablo Fernández Insausti;;"Rango 1.500.001-3.000.000€ (Axesor 2024); crecimiento 22,54% interanual";;;;;;sin evidencia;;;"Subvención Ente Vasco de la Energía recibida; sin datos de I+D específicos";B2B;Regional;Sí, masas congeladas y ultracongeladas de bollería, pastelería y panadería bajo marca FROST BERRI;No cotiza;Empresa familiar — Pyme;baja;Sin datos de accionariado. Ventas 25M€ y solo 12 empleados, no supera umbral de 250 empleados. Por defecto clasificada como empresa familiar pyme.;Resto del tejido empresarial;alta;Fabricante de masas congeladas bajo marca FROST BERRI. Posición regional, sin datos de exportación significativa ni liderazgo de nicho internacional. Pyme alimentaria local.;
1,937;ARIN ETXEGINTZA SL;B20532578;0.0;1995;Oiartzun;Bidasoa;Construcción de edificios;;independiente;media;3.0;Informa D&B (menos de 5 empleados, entidad local);Andres Julian Lasarte Leonet;4500000.0;Informa D&B (rango 3-6 millones €, 2024 con caída 56.44% anual);;No;;;;sin evidencia;;0;;B2C;Regional;Sí, promociones inmobiliarias residenciales (viviendas y solares);No cotiza;Empresa familiar — Pyme;baja;Accionistas no identificados públicamente. Ventas 4,5M€ y 3 empleados, claramente pyme. El apellido 'Arin' en la razón social sugiere origen familiar. Por defecto empresa familiar pyme.;Resto del tejido empresarial;alta;Promotora inmobiliaria local, B2C, sin exportación, 3 empleados. Pyme de promoción residencial local sin relevancia ecosistémica especial.;
1,939;VASCONAVARRO DEL AUTOMOVIL SL;B20625455;0.0;1998;Donostia-San Sebastián;Donostialdea;Finanzas y seguros;;independiente;baja;24.0;Empresite/eInforma 2025;;;;;;;;;sin evidencia;;;;B2B;Regional;No (servicios administrativos para club deportivo);No cotiza;Otros — Fundaciones, asociaciones, JVs, o propiedad no determinable;alta;Propiedad al 100% del Real Automóvil Club Vasco Navarro, entidad privada sin ánimo de lucro (club/asociación). No encaja en ninguna categoría anterior: no es multinacional, no es cooperativa, no es familiar, no es pública. Corresponde a categoría 11 (asociación/entidad sin ánimo de lucro).;Resto del tejido empresarial;alta;Entidad de servicios administrativos vinculada a club deportivo sin ánimo de lucro. Mercado local, sin exportación, sin producto propio ni liderazgo de nicho.;
1,941;PLASTICOS PARDO SL;B75062927;8.0;2012;Aizarnazabal;Urola-Costa;Otras industrias manufactureras;;independiente;baja;16.0;eInforma, Empresite, Axesor (año 2025);;;"Rango estimado 1.500.001-3.000.000€ según Axesor; Informa indica entre 1,5-3 millones €";;No;;;;sin evidencia;;Sí (empresa importadora y exportadora según registros), porcentaje no especificado;Subvención recibida de SPRI (Agencia Vasca de Desarrollo Empresarial), pero sin datos específicos de I+D;B2B;Nacional;Sí, productos propios: carpetas Pardo, archivadores, fundas, dossiers, productos de coleccionismo (álbumes para monedas y sellos), línea office (botellas termo, tuppers de marcas Lacor e Ibili como distribuidor exclusivo);No cotiza;Empresa familiar — Pyme;alta;Empresa familiar explícitamente declarada, en tercera generación. Administradores solidarios con apellido Pardo (familia fundadora). Ventas 25M€ y 16 empleados, no supera umbral de 250 empleados. Sin indicios de PE. Empresa familiar pyme.;Resto del tejido empresarial;alta;Empresa familiar en tercera generación con producto propio (carpetas, archivadores, coleccionismo), 8 patentes y referente nacional. Sin embargo, no alcanza liderazgo mundial en nicho ni masa crítica de campeona famosa. Pyme con cierta proyección nacional pero sin posición top 3 mundial documentada.;
1,942;ZUE SL;B20152054;0.0;1987;Zumaia;Urola-Costa;Productos metálicos;;independiente;media;15.0;eInforma 2025 (entidad local Zumaia, no grupo global);Egaña Iztueta Iosu;1750000.0;"Rango 1.500.001-3.000.000€ según Axesor 2024; estimación conservadora 1.75M€";;No;;Básico;No hay evidencia de stack tecnológico avanzado. Empresa de manufactura tradicional con enfoque en calderería. Mención de subvención SPRI (agencia vasca de desarrollo empresarial) pero sin detalles de tecnología específica.;sin evidencia;;;Subvención SPRI recibida (agencia vasca de desarrollo empresarial), pero sin datos específicos de % I+D sobre ventas ni centro I+D propio documentado;B2B;Regional;"Sí, piezas bajo plano personalizadas en acero al carbono, inoxidable y aluminio; servicios de calderería media-pesada y montaje industrial";No cotiza;Empresa familiar — Pyme;media;Estructura de consejo con personas físicas identificadas (Egaña Iztueta, Garcia Garcia, Udabe Zubia), típica de empresa familiar pequeña. Ventas 1,75M€ y 15 empleados, claramente pyme. Sin indicios de PE ni cooperativa.;Resto del tejido empresarial;alta;Taller de calderería media-pesada y estructuras metálicas. Posición regional, 15 empleados, 1.75M€ ventas, sin liderazgo de nicho internacional. Pyme industrial auxiliar típica del tejido de Gipuzkoa.;
1,944;GIKE SA;A20324844;0.0;1990;Donostia-San Sebastián;Donostialdea;Ingeniería y servicios técnicos;;independiente;baja;31.0;eInforma 2024 (03/01/2026);Esteban González Alberto;;"Rango estimado 1.500.000-3.000.000€ según Axesor/Informa; cifra exacta no disponible en búsquedas";;;;;;sin evidencia;;0;Inversión de 2,5 millones de euros en nueva sede (2024) con cuatro laboratorios (materiales, medio ambiente, viales, hormigón) para potenciar actividad investigadora. Centro I+D propio en Donostia.;B2B;Regional;Sí, servicios de laboratorio de ensayos acreditados (ENAC) y servicios técnicos de ingeniería especializados en construcción;No cotiza;Empresa familiar — Pyme;baja;Sin datos de accionariado. Ventas 25M€ y 31 empleados, no supera umbral de 250 empleados. Por defecto clasificada como empresa familiar pyme.;Resto del tejido empresarial;alta;Laboratorio de ensayos técnicos para construcción y obra civil. Posición regional, sin exportación, sin liderazgo de nicho internacional. Pyme de servicios técnicos especializados locales.;
1,948;NEXMART SL;B20873626;0.0;2005;Donostia-San Sebastián;Donostialdea;Servicios auxiliares a empresas;;independiente;media;18.0;eInforma 2025 - entidad local NEXMART SL Donostia;Nicolás Azcona Andueza;2080000.0;"Infonif 2022 (2,08M€); datos 2024-2025 no disponibles públicamente";;Sí;IA en solución Documents to EDI: reconocimiento automático de errores en pedidos recibidos por email/PDF/Word/CSV, con equipo de soporte interno que revisa manualmente. IA en análisis de datos y optimización de procesos de venta (Data Cockpit). Menciones en web corporativa sobre IA en transformación digital B2B;Avanzado;Cloud: infraestructura en la nube (no especificada proveedor). Plataforma: Online Market (SaaS B2B). Integraciones: ERP (SAP, Oracle, Dynamics), sistemas de gestión de fabricantes/distribuidores. EDI: intercambio electrónico de documentos. APIs propias para integración. Tecnologías: Java, Python (inferido de ofertas tech). Bases de datos relacionales. Arquitectura de microservicios (inferido de modernización de plataforma 2023);medio (5-20);Product Owner EDI and data Cloud (Stefan Schuck), Head of Sales (Alexander Homburg), roles de desarrollo y soporte técnico mencionados en web de carreras;85;Presencia en 69 países, 300+ fabricantes, 8.000+ socios minoristas, 10.000+ puntos de venta globales. Inversión en I+D: modernización de Online Market (2023), desarrollo de soluciones EDI con IA, integración con Kit Digital (programa de subvenciones españolas). Subvención del Departamento de Industria, Comercio y Turismo del País Vasco (2023);B2B;Europeo;Sí, plataforma Online Market (marketplace B2B), Retail Connect (botón 'Dónde comprar'), EDI Connect (automatización de pedidos), Data Cockpit (analítica), Business App (app móvil para comerciales), mynexmart (portal de autogestión);No cotiza;Filial de multinacional extranjera;alta;Matriz identificada: NEXMART GmbH & Co. KG con sede en Stuttgart, Alemania (fuera de España). Control por empresa extranjera → categoría 1.;Resto del tejido empresarial;alta;Filial de NEXMART GmbH & Co. KG (Stuttgart, Alemania). Plataforma B2B líder europeo en e-commerce para ferretería/bricolaje, presente en 69 países. Filial multinacional extranjera con presencia significativa en Gipuzkoa y exportación del 85%.;
1,949;CAMEPAK-2 SA;A20493904;0.0;1994;Aduna;Donostialdea;Maquinaria y equipo;;independiente;media;24.0;eInforma 2025 (02/10/2025);;43500000.0;"eInforma: crecimiento 74.17% en 2024 respecto a 2023; rango 1.5-3M€ según Axesor/Empresia";;;;Básico;No hay evidencia de stack avanzado. Operan con tecnología estándar de maquinaria industrial. Web corporativa sin referencias a cloud, DevOps, microservicios o BI avanzado. Ofertas de empleo no disponibles en búsqueda.;sin evidencia;;;Recibió subvención SPRI (Agencia Vasca de Desarrollo Empresarial) según Axesor. Departamento I+D+I mencionado en web BELCA. Centro de fabricación propio en Aduna. Presencia internacional con showrooms en Aduna, Murcia, Huelva y México.;B2B;Nacional;Sí, líneas completas de máquinas de envasado y embalaje BELCA: flow-pack, termoselladoras, termoformadoras, sobreenvoltura, enfajadoras retráctiles, enfardadoras de palets, túneles de retracción, máquinas semiautomáticas;No cotiza;Empresa familiar — Pyme;baja;Sociedad unipersonal controlada al 100% por SOCIEDAD DE BIENES DE EQUIPO LIGERO CONSTRUCCION Y ASESORAMIENTO SA, entidad española cuya propiedad última no es pública. Ventas 43,5M€ pero solo 24 empleados, no supera umbral de 250 empleados. Sin datos que indiquen PE, cooperativa o multinacional. Por defecto empresa familiar pyme.;Resto del tejido empresarial;alta;Fabricante de maquinaria de envasado BELCA con más de 30 años, referente nacional, presencia internacional (México) y departamento I+D+i. Sin embargo, no hay evidencia de liderazgo top 3 mundial en su nicho ni datos de I+D >4%. Queda en tejido empresarial aunque con perfil industrial destacado.;
1,951;EGUIA LOGISTICA Y TRANSPORTE SL;B20144564;0.0;1986;Irun;Bidasoa;Logística y almacenamiento;;independiente;baja;2.0;eInforma 2023;;;Rango 750.001-1.500.000€ según Axesor (no cifra exacta disponible);;;;;;sin evidencia;;;;B2B;Regional;No (servicios de transporte y logística);No cotiza;Empresa familiar — Pyme;baja;Parte del Grupo GLAS (holding con varias empresas de transporte), cuya propiedad última no está identificada públicamente. Ventas 25M€ y solo 2 empleados (posiblemente holding). Sin datos de PE ni multinacional. Por defecto empresa familiar pyme dado el perfil de grupo de transporte vasco.;Resto del tejido empresarial;alta;Empresa de transporte y logística por carretera, parte de grupo GLAS. Sin producto propio, posición local, 2 empleados registrados. Pyme de servicios logísticos sin liderazgo de nicho.;
1,952;IETEAM CONSULTORES GIPUZKOA 2022 SL.;B67965566;0.0;2021;Donostia-San Sebastián;Donostialdea;Sedes centrales y consultoría de gestión;;independiente;media;21.0;Empresite (eInforma) - IETEAM CONSULTORES GIPUZKOA 2022 SL, año 2023;Iñigo Ugarte Aramburu;5000000.0;Crónica Vasca, diciembre 2024 - facturación grupo consolidado 2024;;No;;Avanzado;Plataforma propia de Gestión de Innovación Abierta (ienn). Stack tecnológico en desarrollo: ERP, Data, CRM, Infraestructura, Ciberseguridad. Búsqueda activa de Director/a IT para implementar plan de digitalización estratégico;mínimo (<5);Director/a IT (oferta activa), especialistas en ERP, Data, CRM, Infraestructura y Ciberseguridad;100;"Área de Innovación & Emprendimiento activa; desarrollo de herramienta propia (ienn); participación en BAIC (Basque Artificial Intelligence Center); colaboración en programas de transformación digital (Activa Industria 4.0)";B2B;Nacional;Sí, plataforma ienn de Gestión de Innovación Abierta;No cotiza;Otros — Fundaciones, asociaciones, JVs, o propiedad no determinable;media;Estructura de 26 socios con administrador único IETEAM GROUP SL. La propiedad distribuida entre múltiples socios (posiblemente consultores/profesionales) y administración por sociedad holding no encaja claramente en empresa familiar ni cooperativa. Estructura tipo JV o sociedad participativa de profesionales → categoría 11.;Campeona oculta;alta;Consultora de internacionalización y estrategia con herramienta propia (ienn) y 100% exportación. Referente nacional pero sin liderazgo mundial en nicho ni escala de campeona famosa. Pyme de servicios profesionales con proyección internacional.;
1,953;JESUS ARTETXE SL;B20508784;0.0;1995;Usurbil;Donostialdea;Comercio al por mayor;;independiente;baja;9.0;Empresite/Einforma (año 2025);;;"Discrepancia entre fuentes: Axesor indica 1.500.001-3.000.000€; Iberinform indica 60.000-120.000€; dato de 25M€ no verificado";;No;;;;sin evidencia;;;;B2B;Regional;No (distribuidor/comerciante mayorista sin marca propia de fabricación);No cotiza;Empresa familiar — Pyme;alta;Empresa familiar explícitamente indicada. Ventas 25M€ pero solo 9 empleados, muy por debajo del umbral de 250 empleados. Sin PE ≥20%.;Resto del tejido empresarial;alta;Distribuidor mayorista de alimentación para hostelería. Sin producto propio, sin exportación, posición regional, 9 empleados. Pyme de distribución local típica.;
1,955;GOENAGA ESNEKIAK SL;B20782074;0.0;2002;Donostia-San Sebastián;Donostialdea;Industria alimentaria;;independiente;baja;14.0;eInforma 2024;;;Informa D&B: entre 1.500.000 y 3.000.000€ (rango, no cifra exacta);;No;No hay evidencia de uso de IA. Sí hay digitalización: sensorización de equipos (pasteurizadores, cámaras, estufas) para monitoreo en tiempo real y optimización de procesos productivos, pero no constituye IA sino IoT industrial básico;Básico;Digitalización de planta: sensores IoT en equipos de producción, sistema de planificación y control basado en datos de sensores. No hay evidencia de ERP, CRM, cloud computing o stack tecnológico avanzado. Tienda online básica;mínimo (<5);;0;Inversión en digitalización de planta productiva (sensorización, sistemas de control). No hay evidencia de centro I+D formal ni proyectos de investigación. Subvención recibida del Departamento de Alimentación, Desarrollo Rural, Agricultura y Pesca del País Vasco;B2C;Regional;Sí, yogur natural artesanal Goenaga (producto flagship), queso fresco, bifidus, kéfir ecológico, mermeladas. Producción integrada: ganadería propia + elaboración + comercialización directa;No cotiza;Empresa familiar — Pyme;alta;Familia Goenaga con participación mayoritaria explícita. 14 empleados y 25M€ en ventas, por debajo del umbral de 250 empleados. Sin PE ≥20%.;Resto del tejido empresarial;alta;Productor artesanal de lácteos con marca propia y ganadería integrada. Sin exportación, mercado B2C regional, 14 empleados, sin I+D formal. Pyme agroalimentaria local de calidad pero sin liderazgo de nicho internacional.;
1,957;AJUBITA SA;A20047437;0.0;1954;Elgoibar;Bajo Deba;Productos metálicos;;independiente;media;13.0;eInforma 2023, InfoJobs;;2500000.0;Axesor (rango 1.5-3M€), Guía Empresas (rango 1.5-3M€), eInforma 2023;;No;;Básico;No hay evidencia de stack tecnológico avanzado. Empresa de manufactura tradicional con certificación ISO 9001 desde 1996. No se detectan menciones a cloud, ERP moderno, CRM, BI avanzado o herramientas digitales en web corporativa ni ofertas de empleo;sin evidencia;;;Subvención SPRI registrada (Agencia Vasca de Desarrollo Empresarial). No hay evidencia de centro I+D propio, laboratorio de calidad adquirido en 2000. Inversión en I+D no cuantificada;B2B;Regional;Sí, espárragos, varillas roscadas, tornillos, tuercas y arandelas según norma ASTM y bajo plano personalizado. Clientes principales: Repsol, Petronor, Schmidt Clemens (petroquímica), Ampo-Poyam Valves, Valvospain, Kitz (valvulería), Almesa, Promeinsa, Yaco (suministros industriales);No cotiza;Empresa familiar — Pyme;alta;Familia Ajubita controla la empresa con administradores solidarios de la misma familia. 13 empleados y 2,5M€ en ventas, claramente pyme. Sin PE ≥20%.;Resto del tejido empresarial;alta;Fabricante de elementos de fijación industrial (tornillería, espárragos) para Oil&Gas. Aunque tiene clientes industriales relevantes y producto propio B2B, es una pyme de 13 empleados y 2.5M€ sin evidencia de liderazgo mundial en nicho ni exportación significativa cuantificada.;
1,959;EMBALAJES ICIAR SL.;B75168724;14.0;2016;Deba;Bajo Deba;Madera, papel y artes gráficas;;independiente;baja;13.0;eInforma 2025 (17/10/2025);Ildefonso Arechaederra Mendizabal;;"Cifra exacta no disponible en web; crecimiento 21.39% 2024-2025 confirmado";;;;;;sin evidencia;;;;B2B;Regional;Sí, embalajes de madera personalizados para máquina herramienta e industria eólica;No cotiza;Empresa familiar — Pyme;media;Socio único es AREGESTION SOCIEDAD DE CARTERA SL, administrada por Ildefonso Arechaederra Mendizabal. Apunta a holding familiar personal. 13 empleados, claramente pyme. Sin indicios de PE ≥20%.;Resto del tejido empresarial;alta;Fabricante de embalajes de madera para máquina herramienta e industria eólica. Llama la atención el número de patentes (14) para su tamaño, pero con 13 empleados, posición regional y sin evidencia de exportación ni liderazgo mundial en nicho, no alcanza criterios de campeona oculta.;
1,96;ISASTEGI SAGARDOTEGIA SL;B20531331;0.0;1995;Tolosa;Tolosaldea;Bebidas y tabaco;;independiente;media;4.0;eInforma 2024 (05/01/2025);;2257000.0;eInforma: crecimiento 9.66% 2022-2023 sobre base 2061289€;;No;;;;sin evidencia;;Presencia internacional confirmada (red de suministro internacional, venta en tiendas delicatessen mundiales);Microinnovación no tecnológica reconocida por Hazinnova 2023 (SPRI/Innobasque). Mejoras en protocolos de control desde manzana a botella. Producción ecológica certificada;Mixto;Nacional;Sí, Sidra Natural D.O. Euskal Sagardoa (líneas: Natural, Premium, Ecológica en lata). Marca propia con certificaciones de calidad Fraisoro;No cotiza;Empresa familiar — Pyme;alta;Empresa familiar fundada en 1984 por Miguel Mari Lasa, ahora gestionada por segunda generación (Joseba y Mikel Lasa). 4 empleados y 2,25M€ en ventas. Sin PE ≥20%.;Resto del tejido empresarial;alta;Sidrería artesanal con D.O. Euskal Sagardoa, referente nacional en su sector y con presencia internacional en tiendas delicatessen. Sin embargo, 4 empleados, 2.25M€ de ventas y mercado principalmente local/nacional. No alcanza escala ni liderazgo mundial para otras categorías.;
1,963;SAVERA SERVICES OF ELEVATION S.A.;A20657938;0.0;1967;Hernani;Donostialdea;Productos metálicos;;independiente;baja;43.0;eInforma 2025 - SAVERA SERVICES OF ELEVATION S.A. (entidad local Hernani);Diego Labarquilla;;No disponible cifra exacta 2024-2025. Datos históricos: ~16.500 millones de pesetas (años 90s). Grupo global: 320M€ valoración 2014;Partners Group (Private Equity suizo, 75% desde 2014, valoración empresa 320M€);;;;;sin evidencia;;85;Centro I+D propio en Bera (Navarra). Presencia en 20 fábricas globales. Plan Partners Group: aumentar actividad I+D en China;B2B;Mundial;Sí, guías de ascensor (T-profiles), accesorios de rodadura, componentes mecánicos (cabinas, contrapesos, puertas, reguladores de velocidad, paracaídas, motores sin engranajes);No cotiza;Participada por PE / capital riesgo / family office;alta;Partners Group (PE suizo) tiene el 75% del capital desde 2014, muy por encima del umbral del 20%. Prevalece sobre la participación familiar minoritaria del 25%.;Campeona oculta;alta;Fabricante global líder de guías de ascensor con 85% exportación, presencia en 20 fábricas globales, B2B, producto propio y liderazgo mundial en su nicho. Aunque la propiedad actual es mayoritariamente del PE suizo Partners Group (75%), la empresa tiene origen vasco y sede en Gipuzkoa. La pérdida de propiedad vasca mayoritaria genera incertidumbre, pero el perfil productivo y de liderazgo encaja con INML.;
1,964;SESA TOOLS SA;A20494100;0.0;1994;Hernani;Donostialdea;Comercio al por mayor;;independiente;baja;11.0;eInforma 2025 (22/10/2025);Marta Mendizabal Urizar;;eInforma reporta crecimiento del 11% en 2024 respecto a 2023, pero cifra exacta no disponible en búsqueda;;;;;;sin evidencia;;Sí realiza actividad internacional de importación y exportación, pero porcentaje exacto no especificado;;B2B;Regional;Sí, catálogo propio de herramientas de corte: brocas DIN-338, brocas para inoxidable, brocas para porcelanato, fresas rotativas, machos de roscado (series Banda Verde, Banda Amarilla), cinceles, portabrocas, calibres, micrómetros. Marca registrada SESA TOOLS con 6 marcas comerciales;No cotiza;Empresa familiar — Pyme;alta;Empresa familiar privada con administradora única Marta Mendizabal Urizar y consejeros de la misma familia. 11 empleados y 25M€ en ventas, por debajo del umbral de 250 empleados. Sin PE ≥20%.;Resto del tejido empresarial;alta;Distribuidor mayorista de herramientas de corte con marca propia SESA TOOLS. Aunque tiene catálogo propio y actividad internacional, es fundamentalmente un comerciante mayorista de 11 empleados con posición regional. Sin fabricación propia ni liderazgo de nicho internacional.;
1,966;ESKA LARSA SL;B20938155;0.0;2007;Irura;Tolosaldea;Comercio al por mayor;;independiente;baja;4.0;"eInforma (año 2023); nota: eInforma reporta 2 empleados en 2022, pero Empresite y otras fuentes indican 4 en 2023";;;"Rango estimado 500.000-1.000.000€ (Empresia, Axesor); otras fuentes indican 1.500.001-3.000.000€ (Axesor). Cifra exacta no disponible en fuentes públicas.";;No;;;;sin evidencia;;0;;B2B;Regional;No (distribuidor/comerciante mayorista de productos de terceros);No cotiza;Empresa familiar — Pyme;baja;Accionariado no especificado en fuentes públicas. Solo se conocen dos administradores solidarios. Por defecto, pyme vasca sin datos = empresa familiar pyme (lo más probable estadísticamente). 4 empleados.;Resto del tejido empresarial;alta;Distribuidor mayorista de ferretería y suministros industriales. Sin producto propio, sin exportación, 4 empleados, posición regional. Pyme de distribución local.;
1,967;PSA SECURE SL;B20951356;0.0;2007;Andoain;Donostialdea;Comercio al por mayor;;independiente;media;2.0;eInforma 2024 (31/10/2025);;1780000.0;"eInforma 2024 (disminución 12.84% respecto 2023; 2023: ~2.048.000€)";;No;;;;sin evidencia;;Evidencia de exportación a USA (Panjiva: envíos a San Francisco), pero % no cuantificable;;B2B;Regional;No (distribuidor/comerciante mayorista de productos de marca PSA-Sicherheitstechnik alemana);No cotiza;Filial de multinacional extranjera;alta;Filial 100% de PSA-Sicherheitstechnik GmbH & Co., empresa alemana con sede fuera de España. Control total por matriz extranjera.;Resto del tejido empresarial;alta;Filial española de PSA-Sicherheitstechnik alemana, distribuidora de EPIs. Aunque es filial de multinacional extranjera, con solo 2 empleados y 1.78M€ no alcanza el umbral de presencia significativa (>100 empleados o >50M€) para ser considerada campeona tractora.;
1,972;MUGATU SL;B20194221;0.0;1989;Donostia-San Sebastián;Donostialdea;Comercio al por mayor;;independiente;baja;6.0;eInforma (año 2024, actualizado 04/04/2025);;;"Empresia reporta facturación entre 1-2,5M€; Axesor reporta entre 1-10M€; eInforma indica disminución 6,49% en último año";;No;;;;sin evidencia;;;;Mixto;Regional;Sí, marca Treboli (tienda online y física de moda para mujer y hombre);No cotiza;Empresa familiar — Pyme;baja;Sin datos de accionariado. Empresa de comercio al por mayor con 6 empleados y 25M€ en ventas. Por defecto, pyme vasca sin datos = empresa familiar pyme (lo más probable estadísticamente).;Resto del tejido empresarial;alta;Importador y comercializador de moda con marca Treboli y tiendas físicas en Donostia e Irun. Mercado local/regional, 6 empleados, sin fabricación propia ni liderazgo de nicho. Pyme de comercio minorista/mayorista de moda.;
1,973;NORANCELL SL.;B75096800;0.0;2013;Irun;Bidasoa;Madera, papel y artes gráficas;;independiente;baja;6.0;Empresite/eInforma 2024 - entidad local Irún;;;Discrepancia: Axesor 750k-1.5M€, Informa 0.6-1.5M€. Dato previo 25M€ no verificado en fuentes actuales;;;;;;sin evidencia;;;Subvención recibida del Departamento de Industria, Transición Energética y Sostenibilidad de la Comunidad Autónoma del País Vasco;B2B;Regional;No (trading/distribución de papel y materias primas);No cotiza;Empresa familiar — Pyme;media;Controlada por Grupo ANTILLANA, descrito como empresa familiar. 6 empleados, claramente pyme. No hay indicios de que la matriz tenga sede fuera de Euskadi que sea determinante, ni de PE ≥20%.;Resto del tejido empresarial;alta;Trading internacional de papel y materias primas. Sin producto propio, 6 empleados, actividad de intermediación comercial. Pyme de trading sin liderazgo de nicho ni fabricación.;
